model,condition,seed,temperature,ambiguity_group,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
qwen3:14b,staged,101,0.2,single_gold,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.60098830005154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen3:14b,staged,202,0.2,multi_gold,149,1.0,1.5033557046979866,0.785234899328859,0.4966442953020134,0.4161073825503356,0.5771812080536913,0.47651006711409394,14.172131971811607,0.12080536912751678,0.0738255033557047,0.174496644295302,0.12751677852348994,0.12751677852348994,0.0738255033557047,0.18137583892617357,0.05078299776286353,0.12304250559284116,0.0738255033557047,0.1767337807606264,0.12080536912751678,0.12751677852348994,0.12304250559284116,0.9060402684563759,0.9096836049856184,0.5209332054969639,0.5805369127516778,0.7483221476510067,0.7331032278683285,0.7003558644934483,0.7676861617130073,0.747158836689038,0.7159574944071587,0.7772523170341962,0.42568062760589526
qwen3:14b,staged,202,0.2,single_gold,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.60649989999365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen3:14b,staged,303,0.2,multi_gold,149,1.0,1.4630872483221478,0.8120805369127517,0.5033557046979866,0.42953020134228187,0.5838926174496645,0.46308724832214765,14.166615977173908,0.09395973154362416,0.053691275167785234,0.1476510067114094,0.09395973154362416,0.10067114093959731,0.053691275167785234,0.15436241610738255,0.039149888143176735,0.0953020134228188,0.049664429530201344,0.1476510067114094,0.09395973154362416,0.10067114093959731,0.0953020134228188,0.9060402684563759,0.9133908596995846,0.5537871524448705,0.5861297539149888,0.7080536912751678,0.7334803451581975,0.7013326941514861,0.768364493448386,0.7444103547459252,0.7132189197826782,0.7750113454777885,0.4145581920414431
qwen3:14b,staged,303,0.2,single_gold,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.138236099970527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen3:14b,staged,44,0.0,multi_gold,10,1.0,1.4,0.8,0.6,0.3,0.9,0.6,15.28508580001071,0.1,0.0,0.3,0.1,0.1,0.0,0.3,0.025,0.1,0.0,0.3,0.1,0.1,0.1,0.8,0.9166666666666666,0.5333333333333333,0.4666666666666667,0.95,0.7333333333333333,0.58,0.8700833333333329,0.7333333333333333,0.5766666666666667,0.8866666666666666,0.3550904427211467
qwen3:14b,staged,55,0.0,multi_gold,894,1.0,1.523489932885906,0.7829977628635347,0.5134228187919463,0.4809843400447427,0.5458612975391499,0.470917225950783,14.286942148542863,0.10961968680089486,0.09060402684563758,0.1297539149888143,0.116331096196868,0.1185682326621924,0.09840604026845638,0.13982102908277405,0.048695003728560775,0.11323639075316928,0.09284116331096197,0.13594332587621177,0.11297539149888143,0.1185682326621924,0.11491424310216257,0.8926174496644296,0.9144881218706722,0.555821881325237,0.5909768829231916,0.7522371364653244,0.741228294449771,0.7278710983274741,0.7540104666027485,0.7553105358474486,0.7426174496644296,0.7678749334185575,0.43315688036809663
qwen3:14b,staged,55,0.0,single_gold,7,1.0,1.0,0.8571428571428571,0.8571428571428571,0.5714285714285714,1.0,0.8571428571428571,13.850440328574873,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,0.5714285714285714,1.0,0.7142857142857143,0.8571428571428572,0.7523809523809525,0.9523809523809526,0.8571428571428572,0.742857142857143,0.9523809523809526,0.8199068868064402
qwen3:4b,direct,42,0.0,multi_gold,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.178062059986405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:4b,direct,43,0.0,multi_gold,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.283833499997854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
