condition,record_id,gold_family,left_seed,right_seed,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90
direct,nvbench2:test:366,boxplot,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:376,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:376,rect,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:376,rect,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:377,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:377,rect,101,303,1.0,0.16666666666666666,0.16666666666666666,0.321445
direct,nvbench2:test:377,rect,202,303,1.0,0.16666666666666666,0.16666666666666666,0.321445
direct,nvbench2:test:384,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:384,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:384,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:385,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:385,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:385,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:388,bar+line+rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:388,bar+line+rect,101,303,0.0,0.42857142857142855,0.5,0.547335
direct,nvbench2:test:388,bar+line+rect,202,303,0.0,0.42857142857142855,0.5,0.547335
direct,nvbench2:test:392,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:392,rect,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:392,rect,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:395,rect,101,202,0.0,0.25,1.0,0.32589
direct,nvbench2:test:395,rect,101,303,0.0,0.25,1.0,0.32589
direct,nvbench2:test:395,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:406,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:406,bar,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:406,bar,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:426,arc,101,202,1.0,0.2,1.0,0.321445
direct,nvbench2:test:426,arc,101,303,1.0,0.2,1.0,0.321445
direct,nvbench2:test:426,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:430,bar,101,202,1.0,0.125,1.0,0.321445
direct,nvbench2:test:430,bar,101,303,1.0,0.125,1.0,0.321445
direct,nvbench2:test:430,bar,202,303,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:test:432,bar+line+rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:432,bar+line+rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:432,bar+line+rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:434,arc,101,202,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:434,arc,101,303,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:434,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:435,rect,101,202,1.0,0.25,1.0,0.5428899999999999
direct,nvbench2:test:435,rect,101,303,1.0,0.42857142857142855,1.0,0.6923349999999999
direct,nvbench2:test:435,rect,202,303,1.0,0.25,1.0,0.5428899999999999
direct,nvbench2:test:443,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:443,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:443,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:446,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:446,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:446,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:454,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:454,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:454,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:461,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:461,rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:461,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:466,rect,101,202,1.0,0.42857142857142855,0.75,0.719335
direct,nvbench2:test:466,rect,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:466,rect,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:471,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:471,line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:471,line,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:479,bar+line,101,202,1.0,0.6666666666666666,0.0,0.8687799999999999
direct,nvbench2:test:479,bar+line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:479,bar+line,202,303,1.0,0.6666666666666666,0.0,0.8687799999999999
direct,nvbench2:test:483,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:483,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:483,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:486,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:486,rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:486,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:489,arc,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:489,arc,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:489,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:492,rect,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:492,rect,101,303,0.0,0.2,0.25,0.22144499999999998
direct,nvbench2:test:492,rect,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:505,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:505,bar,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:505,bar,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:508,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:508,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:508,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:519,boxplot,101,202,1.0,0.2,0.2,0.321445
