record_id,model,condition,gold_family,emitted_count,unique_count,done_reason,generated_tokens,token_limit_completion,emit_0,emit_1,emit_2,emit_3,emit_4,emit_5
nvbench2:dev:97,gemma3:27b,direct_rich,line,1,1,stop,52,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:103,gemma3:27b,direct_rich,boxplot,1,1,stop,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:105,gemma3:27b,direct_rich,arc,2,2,stop,39,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:108,gemma3:27b,direct_rich,boxplot,1,1,stop,23,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:112,gemma3:27b,direct_rich,boxplot,1,1,stop,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:114,gemma3:27b,direct_rich,line,2,2,stop,59,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:116,gemma3:27b,direct_rich,arc,2,2,stop,51,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:118,gemma3:27b,direct_rich,rect,1,1,stop,59,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:127,gemma3:27b,direct_rich,arc,2,2,stop,54,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:136,gemma3:27b,direct_rich,boxplot,1,1,stop,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:138,gemma3:27b,direct_rich,bar,2,2,stop,49,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:139,gemma3:27b,direct_rich,line,2,2,stop,60,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:143,gemma3:27b,direct_rich,rect,1,1,stop,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:144,gemma3:27b,direct_rich,bar,1,1,stop,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:149,gemma3:27b,direct_rich,point,3,3,stop,83,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:157,gemma3:27b,direct_rich,point,2,2,stop,59,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:158,gemma3:27b,direct_rich,point,1,1,stop,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:165,gemma3:27b,direct_rich,line,3,3,stop,83,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:167,gemma3:27b,direct_rich,bar,3,3,stop,164,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:176,gemma3:27b,direct_rich,line,1,1,stop,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:182,gemma3:27b,direct_rich,rect,1,1,stop,34,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:188,gemma3:27b,direct_rich,rect,1,1,stop,36,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:191,gemma3:27b,direct_rich,rect,1,1,stop,39,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:203,gemma3:27b,direct_rich,bar+line,4,4,stop,97,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nvbench2:dev:214,gemma3:27b,direct_rich,rect,1,1,stop,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:223,gemma3:27b,direct_rich,boxplot,1,1,stop,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:228,gemma3:27b,direct_rich,rect,2,2,stop,70,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:232,gemma3:27b,direct_rich,arc,2,2,stop,67,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:245,gemma3:27b,direct_rich,line,3,3,stop,128,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:252,gemma3:27b,direct_rich,rect,2,2,stop,67,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:253,gemma3:27b,direct_rich,arc+bar+line,3,3,stop,82,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:255,gemma3:27b,direct_rich,bar,1,1,stop,34,0.0,0.0,1.0,0.0,0.0,0.0,0.0
