record_id,model,condition,gold_family,gold_count,candidate_count,exact_recall@5,core_recall@5,component_identical_recall@5,matched_recall@5_tau80,matched_recall@5_tau90,exact_recovered,core_recovered,component_identical_recovered,matched_recovered_tau80,matched_recovered_tau90,elapsed_seconds,prompt_tokens,generated_tokens,total_tokens
nvbench2:dev:499,gemma3:27b,direct,line,3,2,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0,0,0,2,1,4.458615833000067,271,66,337
nvbench2:dev:507,gemma3:27b,direct,rect,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.5122027919999255,402,75,477
nvbench2:dev:508,gemma3:27b,direct,arc,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.129166583000028,394,66,460
nvbench2:dev:515,gemma3:27b,direct,line,4,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9.433091915999967,304,164,468
nvbench2:dev:531,gemma3:27b,direct,bar,2,3,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,6.696378416000016,384,99,483
nvbench2:dev:538,gemma3:27b,direct,arc,2,2,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,3.564334874999986,265,48,313
nvbench2:dev:540,gemma3:27b,direct,bar,2,2,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,4.600086250000004,321,62,383
nvbench2:dev:551,gemma3:27b,direct,line,4,2,0.0,0.0,0.0,0.5,0.25,0,0,0,2,1,4.591566457999988,274,65,339
nvbench2:dev:554,gemma3:27b,direct,point,2,1,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,2.93179791700004,266,31,297
nvbench2:dev:562,gemma3:27b,direct,bar,3,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.9982846249999966,332,29,361
nvbench2:dev:568,gemma3:27b,direct,line,5,2,0.0,0.0,0.0,0.2,0.2,0,0,0,1,1,4.661442040999987,296,68,364
nvbench2:dev:571,gemma3:27b,direct,rect,3,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.270938290999993,380,131,511
nvbench2:dev:572,gemma3:27b,direct,bar,2,2,0.5,0.5,0.5,1.0,1.0,1,1,1,2,2,4.948662832999958,364,66,430
nvbench2:dev:573,gemma3:27b,direct,point,2,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.696139541999969,356,60,416
